Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
C20350703,CGB-JPN-2,"05",3-2,💛 Dandelion,US eBay,2024-09-15
C20355758,CGB-JPN-2,"04",5-2,💛 Dandelion,US eBay,2024-09-14
C20377959,CGB-JPN-2,"05",2-1,💜 Grape,JP eBay,2024-08-09
C20385388,CGB-JPN-2,"05",3-2,💟 Atomic purple,JP eBay,2023-04-15
C20387323,CGB-JPN-2,"05",?-?,💟 Atomic purple,JP eBay,2024-08-05
C20388495,CGB-JPN-2,"05",7-2,💟 Atomic purple,UK eBay,2024-08-19
C20393468,CGB-JPN-2,"05",8-2,🩷 Berry,JP eBay,2024-08-10
C20419554,CGB-JPN-2,"05",2-1,💜 Grape,JP eBay,2024-08-29
C20434003,CGB-JPN-2,"03",1-1,💟 Atomic purple,US eBay,2024-09-15
C20436014,CGB-JPN-2,"05",5-2,💟 Atomic purple,UK eBay,2025-01-05
C20441268,CGB-JPN-2,"05",5-1,🩵 Teal,JP eBay,2024-09-08
C20454434,CGB-JPN-2,"05",4-1,💟 Atomic purple,JP eBay,2024-07-19
C20483834,CGB-JPN-2,"05",3-2,💜 Grape,JP eBay,2024-08-05
C20489444,CGB-JPN-2,?,?-?,SE Toys'R'Us translucent green,US eBay,2024-08-15
C20494350,CGB-JPN-2,"05",1-2,🤍 Clear translucent,JP eBay,2024-08-22
C20497734,CGB-JPN-2,"05",4-2,🤍 Clear translucent,JP eBay,2024-08-21
C20520099,CGB-JPN-2,"05",6-1,SE Toys'R'Us translucent green,JP eBay,2025-05-20
C20520112,CGB-JPN-2,"04",2-1,SE Toys'R'Us translucent green,JP J4U,2024-09-06
