Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
CG151201509,CGB-JPN-1,"04",?-1,🩵 Teal,US eBay,2025-01-16
CG151263033,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2024-12-25
CG151690761,CGB-JPN-1,"04",6-2,🩵 Teal,US eBay,2024-09-14
CG151968334,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2025-01-03
CG152184221,CGB-JPN-1,"04",5-1,💚 Kiwi,US eBay,2024-11-04
CG152791054,CGB-JPN-1,"04",4-1,🩵 Teal,US eBay,2025-10-07
CG153221765,CGB-JPN-1,"04",5-1,🩵 Teal,UK eBay,2022-07-15
CG153301559,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2024-09-08
CG153430730,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2024-11-26
CG153704251,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2024-12-20
CG154010238,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2025-06-20
CG154093354,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2024-09-12
CG154432436,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2025-11-11
CG155252828,CGB-JPN-1,"04",1-2,🩵 Teal,UK eBay,2022-07-31
CG155290448,CGB-JPN-1,"04",4-1,🩵 Teal,UK eBay,2024-04-22
CG156034027,Missing,"04",1-1,💟 Atomic purple,US eBay,2024-07-17
CG156129228,CGB-JPN-1,"04",6-2,💚 Kiwi,US eBay,2025-11-28
CG156161716,Missing,"04",1-1,💚 Kiwi,US eBay,2025-11-28
CG156220789,CGB-JPN-1,"04",3-2,💚 Kiwi,US eBay,2025-05-30
